id,code,prefix,start,end,label
E740.5,E740.5,E,740.5,740.5,Sources and documents
E742.5,E742.5,E,742.5,742.5,Collected works of American statesmen
E743-743.5,E743-743.5,E,743.0,743.5,Political history
E743.5,E743.5,E,743.5,743.5,Un-American activities
E744-744.5,E744-744.5,E,744.0,744.5,Diplomatic history.  Foreign and general relations
E745,E745,E,745.0,745.0,Military history
E746,E746,E,746.0,746.0,Naval history
E747-748,E747-748,E,747.0,748.0,Biography
E751,E751,E,751.0,751.0,"McKinley's second administration, March 4- September 14, 1901"
E756-760,E756-760,E,756.0,760.0,"Theodore Roosevelt's administrations, September 14, 1901-1909"
E761-765,E761-765,E,761.0,765.0,"Taft's administration, 1909-1913"
E766-783,E766-783,E,766.0,783.0,"Wilson's administrations, 1913-1921"
E768,E768,E,768.0,768.0,"Purchase of Danish West Indies (Virgin Islands), 1917"
E780,E780,E,780.0,780.0,Internal history during World War I
E784-805,E784-805,E,784.0,805.0,"1919-1933.  Harding-Coolidge-Hoover era.  ""The twenties"""
E785-786,E785-786,E,785.0,786.0,"Harding's administration, 1921-August 2, 1923"
